Timestamp,Open,High,Low,Close,Volume,VWAP,Trade Count
2025-08-27 08:00:00,645.5,645.5,645.41,645.47,2430.0,645.4394,39
2025-08-27 08:05:00,645.45,645.46,645.34,645.34,2766.0,645.3835,63
2025-08-27 08:10:00,645.32,645.35,645.22,645.22,1818.0,645.2958,45
2025-08-27 08:15:00,645.18,645.35,645.18,645.31,2728.0,645.2843,67
2025-08-27 08:20:00,645.32,645.32,645.16,645.16,2948.0,645.2837,36
2025-08-27 08:25:00,645.15,645.28,645.15,645.24,1159.0,645.2147,22
2025-08-27 08:30:00,645.28,645.28,645.1,645.1,1396.0,645.2514,46
2025-08-27 08:35:00,645.07,645.26,645.06,645.26,3208.0,645.1443,54
2025-08-27 08:40:00,645.32,645.32,645.32,645.32,507.0,645.2838,15
2025-08-27 08:45:00,645.0,645.0,644.99,644.99,1902.0,645.0074,46
2025-08-27 08:50:00,645.1,645.11,645.1,645.11,1173.0,645.084,35
2025-08-27 08:55:00,645.32,645.39,645.32,645.39,654.0,645.3685,19
2025-08-27 09:00:00,645.42,645.53,645.42,645.42,785.0,645.4799,17
2025-08-27 09:05:00,645.54,645.55,645.51,645.51,2372.0,645.522,68
2025-08-27 09:10:00,645.56,645.56,645.56,645.56,177.0,645.5608,5
2025-08-27 09:15:00,645.5,645.55,645.5,645.55,640.0,645.5238,14
2025-08-27 09:25:00,645.65,645.65,645.62,645.62,325.0,645.6305,6
2025-08-27 09:30:00,645.69,645.71,645.69,645.71,1872.0,645.697,28
2025-08-27 09:35:00,645.72,645.77,645.71,645.77,1098.0,645.7383,21
2025-08-27 09:40:00,645.68,645.68,645.68,645.68,247.0,645.6748,12
2025-08-27 09:50:00,645.68,645.68,645.67,645.67,730.0,645.6764,13
2025-08-27 09:55:00,645.63,645.63,645.63,645.63,105.0,645.631,2
2025-08-27 10:00:00,645.61,645.63,645.61,645.63,1318.0,645.6178,39
2025-08-27 10:10:00,645.6,645.6,645.57,645.57,706.0,645.5927,17
2025-08-27 10:15:00,645.69,645.69,645.65,645.65,238.0,645.6666,12
2025-08-27 10:20:00,645.61,645.61,645.57,645.57,274.0,645.5933,5
2025-08-27 10:25:00,645.76,645.76,645.76,645.76,405.0,645.76,6
2025-08-27 10:30:00,645.78,645.78,645.71,645.71,2314.0,645.7536,47
