BuyHold,Momentum,MeanRev,VolTarget
99650.2207274539,100000.0,100000.0,100000.0
101156.44360672364,100000.0,100000.0,99898.04619626737
101740.23585977803,100000.0,100000.0,100191.30155381351
101537.61311051105,100000.0,100000.0,100086.62013636707
101303.79712388263,100000.0,100000.0,99962.60354970985
103025.47598402797,100000.0,100000.0,100893.06094568808
103058.25814892456,100000.0,100000.0,100909.34344071735
103447.1394245784,100000.0,100000.0,101120.61728756687
103620.82218949035,100000.0,100000.0,101216.70242755547
104273.67127351543,100000.0,100000.0,101593.35913140867
105399.67988530213,100000.0,100000.0,102258.40905521913
105730.6378072315,100000.0,100000.0,102453.6131910273
105170.5105441568,100000.0,100000.0,102111.09150074857
106207.44465741618,100000.0,100000.0,102757.90357319138
106292.97708491696,100000.0,100000.0,102810.40669258471
105990.88691274764,100000.0,100000.0,102613.08544744804
105595.84501633754,100000.0,100000.0,102348.10208871856
105890.29077922709,100000.0,100000.0,102549.07016042445
104851.483315833,100000.0,100000.0,101815.00533570557
106552.1302075849,100000.0,100000.0,103017.64135855791
107618.34597597596,100000.0,100000.0,103745.08464978254
108295.67573998554,100000.0,100000.0,104205.9268462105
109631.34813087221,100000.0,99647.77069744105,105131.35476048716
110261.08313711143,100000.0,99061.60107567732,105561.29538463881
111403.4963999397,100000.0,97664.1397679154,106357.07974409073
110594.63625307177,100000.0,97322.50749169447,105793.36302271413
108710.70285233486,100000.0,95675.26993509347,104464.420290279
107533.8618240216,100000.0,94639.56529264236,103673.43973775464
107702.46071439893,100000.0,94787.8276606259,103786.52559643115
108737.80009617424,100000.0,95698.9003758159,104507.90283035794
106589.54048371394,100000.0,93808.11935349036,103001.73463831143
105952.72707205036,100000.0,92911.53642559444,102588.5707653033
107067.30510395546,100000.0,92911.53642559444,103329.70397027822
106936.85825900719,100000.0,92911.53642559444,103240.91784643663
107969.01656440189,100000.0,92911.53642559444,103950.44872749806
109832.3588399827,100000.0,92584.20388421002,105236.26650114518
111902.43238627707,100000.0,90794.10706584535,106594.0057618013
112418.46287294208,100000.0,90355.81957799778,106912.30116489856
111955.87040545853,100000.0,90728.88171952179,106618.74983307735
111375.6401587049,100000.0,91192.906474418,106241.61278780397
112456.07762823741,100000.0,89991.73812796465,106959.30256904662
111074.29637902482,100000.0,89676.86559837035,106034.2700043765
110793.29490300456,100000.0,89452.7765018042,105847.56717239397
110871.19342390186,100000.0,89515.45929955727,105899.30895332574
109742.19694785189,100000.0,88296.89833528962,105103.8146851219
109095.19823411078,100000.0,88296.89833528962,104646.70969155597
108642.31554229496,100000.0,88296.89833528962,104318.89368069866
109446.21766075594,100000.0,88296.89833528962,104914.47339612109
108734.71224948764,100000.0,88296.89833528962,104378.86860476501
110925.3237071014,100000.0,87985.77375508539,106044.7699186035
111350.10164460295,100000.0,87636.74070711277,106339.58610761886
112522.16403349106,100000.0,86390.2038592713,107174.62057629872
110285.97664175226,100000.0,86087.89273469984,105584.5603809053
112344.31176659575,100000.0,86522.64979902795,106927.14670462877
112526.65077023016,100000.0,86376.76672461852,107039.6614668832
111719.87893035395,100000.0,86995.66652066613,106522.08473317459
110304.57445772998,100000.0,86974.50446228297,105599.89249853701
110360.50973272616,100000.0,87017.91314404082,105635.41782260736
109192.31253839357,100000.0,85799.9677743538,104853.2330375283
109107.51426235343,100000.0,85799.9677743538,104795.39509195973
110328.02883149871,100000.0,85497.61314594414,105640.70033441274
109652.93352836836,100000.0,86027.4564077987,105173.04679620908
128917.22590210548,100000.0,71065.80998976143,118546.35252331976
127767.68372395223,100000.0,71933.36938111555,118342.15288354586
129789.87154978013,100000.0,70816.17348999786,118696.9400714442
130475.63929941563,100000.0,70427.73695537836,118820.31366894087
130252.02679906081,100000.0,70547.80200416237,118777.82389362593
129595.83663515873,100000.0,70900.05852328835,118652.02365500777
129705.44881006108,100000.0,70838.75998802543,118672.37211718119
128980.76072886235,100000.0,71233.30797543105,118524.2495316793
130718.81970949263,100000.0,70280.50218050572,118886.77327060037
129989.70037990565,100000.0,70680.19438771317,118728.83159918024
128905.35627980802,100000.0,71260.99657437015,118489.38200518586
126804.97175665338,100000.0,72401.43739624933,118011.40551375596
125284.96380610064,100000.0,73239.8130843026,117655.2499572993
125611.97324249026,100000.0,73050.60297368711,117733.57988688131
124458.43038822484,100000.0,73722.67935531159,117441.49840773315
126746.93199377324,100000.0,72387.29147814677,118033.87057707377
126690.17899930984,100000.0,72417.83862983694,118017.77635612866
113093.30774700207,100000.0,79331.98013154634,114344.42738331176
110488.38273629916,100000.0,77847.99637362885,113856.06673614826
108860.363720337,100000.0,76707.7881488209,113517.00478921206
107887.40067749581,100000.0,76021.97855684118,113304.53782600933
108254.62543887316,100000.0,76280.44568315757,113386.68370244019
108186.77729489094,100000.0,76232.3418352202,113369.58203346777
108302.28396097987,100000.0,76313.43684320152,113396.36675275746
108146.11165633413,100000.0,76203.09693761192,113356.22079176697
108635.51960621083,100000.0,76547.65474260277,113481.08070885319
108110.67480585391,100000.0,76177.53764321495,113340.74034037517
108684.79903474718,100000.0,76581.78625458368,113496.31447466684
107992.99996323345,100000.0,76094.03177774552,113300.3386943262
105176.84873742955,100000.0,73853.81015726944,112485.2296952405
106475.9927328948,100000.0,73853.81015726944,112863.42948277103
108599.72192911188,100000.0,73593.41393494085,113508.27060972137
108019.75328828655,100000.0,73994.08850336126,113330.1146989807
110695.10310101157,100000.0,72177.27812019334,114159.90170943769
109877.80665491016,100000.0,72732.74974462052,113903.84115344658
110113.08882269339,100000.0,72577.11086316589,113977.11240402296
