Agent,CAGR,AnnVol,Sharpe,MaxDD,Calmar,HitRate,Trades,TotalTraded,Commission
VolTarget,0.06815204388029006,0.15661616956254468,0.4975324117704908,-0.15301949974709697,0.4453814317291782,0.4850894632206759,503,1159023.7531669906,503.0
BuyHold,0.07962385754545265,0.24863603702442638,0.430394277041895,-0.26248000478490857,0.3033520881348571,0.4870775347912525,504,840707.095337585,504.0
Momentum,-0.07552855807617032,0.12903501223634364,-0.5431633298600469,-0.19840031665604735,-0.38068768915690876,0.44242424242424244,165,797851.574456163,165.0
MeanRev,-0.503259667876939,0.20777168169555177,-3.2550793792332926,-0.7546463395353015,-0.666881480119775,0.3469945355191257,366,10179611.617614709,366.0
